DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,*AGRUPA EDAD PERSONA,CANTIDAD
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,2/11/18,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,2/11/18,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,3/2/18,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,3/11/18,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,5/27/18,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,7/14/18,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,7/22/18,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,7/23/18,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,8/13/18,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,9/20/18,MASCULINO,ADOLESCENTES,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,10/25/18,FEMENINO,ADULTOS,2
AMAZONAS,PUERTO NARIÑO,91540000,ARMA BLANCA / CORTOPUNZANTE,6/14/18,FEMENINO,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,91540000,ARMA BLANCA / CORTOPUNZANTE,7/24/18,FEMENINO,ADULTOS,1
ANTIOQUIA,ALEJANDRÍA,05021000,ARMA BLANCA / CORTOPUNZANTE,3/20/18,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,1/31/18,FEMENINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,4/14/18,FEMENINO,ADULTOS,2
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,6/10/18,FEMENINO,ADULTOS,2
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,10/20/18,FEMENINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,12/25/18,FEMENINO,ADULTOS,1
